loc_id,iso3,location,population
,SAU,Saudi Arabia,33264292
,SDN,Sudan,50042791
,SEN,Senegal,18077573
,SGP,Singapore,5917648
,SLB,Solomon Islands,800005
,SLE,Sierra Leone,8460512
,SLV,El Salvador,6309624
,SMR,San Marino,33860
,SOM,Somalia,18358615
,SRB,Serbia,6623183
,SSA,Sub-Saharan Africa (excluding high income),1259782580
,SSD,South Sudan,11483374
,SSF,Sub-Saharan Africa,1259902353
,SST,Small states,20253539
,STP,Sao Tome and Principe,230871
,SUR,Suriname,628886
,SVK,Slovak Republic,5426740
,SVN,Slovenia,2120461
,SWE,Sweden,10536632
,SWZ,Eswatini,1230506
,SXM,Sint Maarten (Dutch part),42749
,SYC,Seychelles,119773
,SYR,Syrian Arab Republic,23594623
,TCA,Turks and Caicos Islands,46198
,TCD,Chad,19319064
,TEA,East Asia & Pacific (IDA & IBRD countries),2111139152
,TEC,Europe & Central Asia (IDA & IBRD countries),459025452
,TGO,Togo,9304337
,THA,Thailand,71702435
,TJK,Tajikistan,10389799
,TKM,Turkmenistan,7364438
,TLA,Latin America & the Caribbean (IDA & IBRD countries),642397939
,TLS,Timor-Leste,1384286
,TMN,Middle East & North Africa (IDA & IBRD countries),434952414
,TON,Tonga,104597
,TSA,South Asia (IDA & IBRD),1951539835
,TSS,Sub-Saharan Africa (IDA & IBRD countries),1259902353
,TTO,Trinidad and Tobago,1367510
,TUN,Tunisia,12200431
,TUR,Turkiye,85325965
,TUV,Tuvalu,9816
,TZA,Tanzania,66617606
,UGA,Uganda,48656601
,UKR,Ukraine,37732836
,UMC,Upper middle income,2816864459
,URY,Uruguay,3388081
,USA,United States,334914895
,UZB,Uzbekistan,35652307
,VCT,St. Vincent and the Grenadines,101323
,VEN,"Venezuela, RB",28300854
,VGB,British Virgin Islands,38985
,VIR,Virgin Islands (U.S.),104917
,VNM,Viet Nam,100352192
,VUT,Vanuatu,320409
,WLD,World,8061876001
,WSM,Samoa,216663
,XKX,Kosovo,1756366
,YEM,"Yemen, Rep.",39390799
,ZAF,South Africa,63212384
,ZMB,Zambia,20723965
,ZWE,Zimbabwe,16340822
